# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: C:\Arduino_RPi_IoT\FPGA\FPGA_Cyclone\Exemplo_Teste_Nios2\Config_Pinos.csv
# Generated on: Wed Mar 03 00:58:49 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Current Strength,Slew Rate
DIG[3],Output,PIN_137,8,B8_N0,,,
DIG[2],Output,PIN_136,8,B8_N0,,,
DIG[1],Output,PIN_135,8,B8_N0,,,
DIG[0],Output,PIN_133,8,B8_N0,,,
FPGA_BUZZER,Output,PIN_110,7,B7_N0,,,
FPGA_CLK,Input,PIN_23,1,B1_N0,,,
FPGA_RST,Input,PIN_25,2,B2_N0,,,
FPGA_SCL,Output,PIN_112,7,B7_N0,,,
FPGA_SDA,Bidir,PIN_113,7,B7_N0,,,
I2C_SCL,Output,PIN_99,6,B6_N0,,,
I2C_SDA,Bidir,PIN_98,6,B6_N0,,,
IR,Input,PIN_100,6,B6_N0,,,
KEY[3],Input,PIN_91,6,B6_N0,,,
KEY[2],Input,PIN_90,6,B6_N0,,,
KEY[1],Input,PIN_89,5,B5_N0,,,
KEY[0],Input,PIN_88,5,B5_N0,,,
LCD_D[7],Output,PIN_11,1,B1_N0,,,
LCD_D[6],Output,PIN_7,1,B1_N0,,,
LCD_D[5],Output,PIN_10,1,B1_N0,,,
LCD_D[4],Output,PIN_2,1,B1_N0,,,
LCD_D[3],Output,PIN_3,1,B1_N0,,,
LCD_D[2],Output,PIN_144,8,B8_N0,,,
